,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
411,Q13131,AAPK1_HUMAN,PRKAA1 AMPK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm Nucleus,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1)  (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (Tau-protein kinase PRKAA1) 
412,O14965,AURKA_HUMAN,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle pole Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Aurora kinase A  (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)
413,Q96GD4,AURKB_HUMAN,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle pole Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Aurora kinase B  (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)
414,Q9UQB9,AURKC_HUMAN,AURKC AIE2 AIK3 AIRK3 ARK3 STK13,"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily","Nucleus. Chromosome. Chromosome, centromere Cytoplasm, cytoskeleton, spindle",Aurora kinase C  (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)
415,Q9NSY1,BMP2K_HUMAN,BMP2K BIKE HRIHFB2017,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus,BMP-2-inducible protein kinase (BIKe) 
416,O43683,BUB1_HUMAN,BUB1 BUB1L,"Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily",Nucleus,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1)  (BUB1A)
417,O60566,BUB1B_HUMAN,BUB1B BUBR1 MAD3L SSK1,"Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily",Nucleus,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta  (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)
418,Q8N5S9,KKCC1_HUMAN,CAMKK1 CAMKKA,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1)  (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)
419,Q96RR4,KKCC2_HUMAN,CAMKK2 CAMKKB KIAA0787,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus Cytoplasm Cell projection,Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2)  (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)
420,O00311,CDC7_HUMAN,CDC7 CDC7L1,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily",Nucleus Cytoplasm Cell projection,Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) 
421,O15111,IKKA_HUMAN,CHUK IKKA TCF16,"Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily",Cytoplasm Nucleus,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase)  (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)
422,P68400,CSK21_HUMAN,CSNK2A1 CK2A1,"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",Nucleus,Casein kinase II subunit alpha (CK II alpha) 
423,P19784,CSK22_HUMAN,CSNK2A2 CK2A2,"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",Nucleus,Casein kinase II subunit alpha' (CK II alpha') 
424,Q8NEV1,CSK23_HUMAN,CSNK2A3 CSNK2A1P,"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",Nucleus,Casein kinase II subunit alpha 3 (CK II alpha 3)  (Casein kinase II alpha 1 polypeptide pseudogene)
425,Q6XUX3,DUSTY_HUMAN,DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm Cell membrane Apical cell membrane Basolateral cell membrane Cell junction,Dual serine/threonine and tyrosine protein kinase  (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)
426,Q9BQI3,E2AK1_HUMAN,EIF2AK1 HRI KIAA1369 PRO1362,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",Cytoplasm,Eukaryotic translation initiation factor 2-alpha kinase 1  (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (Hemin-sensitive initiation factor 2-alpha kinase)
427,P19525,E2AK2_HUMAN,EIF2AK2 PKR PRKR,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",Cytoplasm,"Interferon-induced, double-stranded RNA-activated protein kinase  (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2)  (p68 kinase)"
428,Q9NZJ5,E2AK3_HUMAN,EIF2AK3 PEK PERK,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",Cytoplasm,Eukaryotic translation initiation factor 2-alpha kinase 3  (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)
429,Q9P2K8,E2AK4_HUMAN,EIF2AK4 GCN2 KIAA1338,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",Cytoplasm,eIF-2-alpha kinase GCN2  (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)
430,O75460,ERN1_HUMAN,ERN1 IRE1,"Protein kinase superfamily, Ser/Thr protein kinase family",Endoplasmic reticulum membrane Single-pass type I membrane protein,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a)
431,Q76MJ5,ERN2_HUMAN,ERN2 IRE2,"Protein kinase superfamily, Ser/Thr protein kinase family",Endoplasmic reticulum membrane Single-pass type I membrane protein,Serine/threonine-protein kinase/endoribonuclease IRE2 (Endoplasmic reticulum-to-nucleus signaling 2) (Inositol-requiring protein 2) (hIRE2p) (Ire1-beta) (IRE1b) 
432,O14976,GAK_HUMAN,GAK,"Protein kinase superfamily, Ser/Thr protein kinase family","Cytoplasm, perinuclear region Golgi apparatus, trans-Golgi network Cell junction, focal adhesion",Cyclin-G-associated kinase 
433,Q8TF76,HASP_HUMAN,HASPIN GSG2,"Protein kinase superfamily, Ser/Thr protein kinase family, Haspin subfamily","Nucleus Chromosome Cytoplasm, cytoskeleton, spindle",Serine/threonine-protein kinase haspin  (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)
434,O14920,IKKB_HUMAN,IKBKB IKKB,"Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily",Cytoplasm Nucleus Membrane raft,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)
435,Q14164,IKKE_HUMAN,IKBKE IKKE IKKI KIAA0151,"Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily","Cytoplasm Nucleus. Nucleus, PML body",Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE)  (Inducible I kappa-B kinase) (IKK-i)
436,Q8NB16,MLKL_HUMAN,MLKL,Protein kinase superfamily,Cytoplasm Cell membrane,Mixed lineage kinase domain-like protein (hMLKL)
437,P00540,MOS_HUMAN,MOS,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm Cell membrane,Proto-oncogene serine/threonine-protein kinase mos  (Oocyte maturation factor mos) (Proto-oncogene c-Mos)
438,Q9UHY1,NRBP_HUMAN,NRBP1 BCON3 NRBP,"Protein kinase superfamily, Ser/Thr protein kinase family","Cytoplasm, cell cortex Endomembrane system Cell projection, lamellipodium",Nuclear receptor-binding protein
439,Q9NSY0,NRBP2_HUMAN,NRBP2 PP9320 TRG16,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm,Nuclear receptor-binding protein 2 (Transformation-related gene 16 protein) (TRG-16)
440,Q58A45,PAN3_HUMAN,PAN3,"Protein kinase superfamily, PAN3 family","Cytoplasm, P-body",PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)
441,Q96QZ0,PANX3_HUMAN,PANX3,Pannexin family,"Cell membrane Multi-pass membrane protein Cell junction, gap junction.",Pannexin-3
442,Q8N165,PDK1L_HUMAN,PDIK1L CLIK1L,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus,Serine/threonine-protein kinase PDIK1L  (PDLIM1-interacting kinase 1-like)
443,Q9H792,PEAK1_HUMAN,PEAK1 KIAA2002,Protein kinase superfamily,"Cytoplasm, cytoskeleton Cell junction, focal adhesion",Inactive tyrosine-protein kinase PEAK1 (Pseudopodium-enriched atypical kinase 1) (Sugen kinase 269) (Tyrosine-protein kinase SgK269)
444,Q99570,PI3R4_HUMAN,PIK3R4 VPS15,"Protein kinase superfamily, Ser/Thr protein kinase family","Late endosome Cytoplasmic vesicle, autophagosome Membrane Lipid-anchor",Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4)  (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)
445,Q9BXM7,PINK1_HUMAN,PINK1,"Protein kinase superfamily, Ser/Thr protein kinase family","Mitochondrion outer membrane Single-pass membrane protein Mitochondrion inner membrane Single-pass membrane protein Cytoplasm, cytosol","Serine/threonine-protein kinase PINK1, mitochondrial  (BRPK) (PTEN-induced putative kinase protein 1)"
446,Q504Y2,PKDCC_HUMAN,PKDCC SGK493 VLK,Protein kinase superfamily,Secreted Golgi apparatus,"Extracellular tyrosine-protein kinase PKDCC  (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)"
447,Q99640,PMYT1_HUMAN,PKMYT1 MYT1,"Protein kinase superfamily, Ser/Thr protein kinase family, WEE1 subfamily",Endoplasmic reticulum membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase  (Myt1 kinase)
448,P53350,PLK1_HUMAN,PLK1 PLK,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily","Nucleus. Chromosome, centromere, kinetochore. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle Midbody.",Serine/threonine-protein kinase PLK1  (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)
449,Q9NYY3,PLK2_HUMAN,PLK2 SNK,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole Cell projection, dendrite",Serine/threonine-protein kinase PLK2  (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)
450,Q9H4B4,PLK3_HUMAN,PLK3 CNK FNK PRK,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole Cell projection, dendrite",Serine/threonine-protein kinase PLK3  (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)
451,O00444,PLK4_HUMAN,PLK4 SAK STK18,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole Nucleus, nucleolus Cleavage furrow.",Serine/threonine-protein kinase PLK4  (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)
452,Q496M5,PLK5_HUMAN,PLK5 PLK5P FG060302,"Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily","Nucleus, nucleolus Cytoplasm",Inactive serine/threonine-protein kinase PLK5 (Polo-like kinase 5) (PLK-5)
453,Q9H5K3,SG196_HUMAN,POMK SGK196,"Protein kinase superfamily, Ser/Thr protein kinase family, STKL subfamily",Endoplasmic reticulum membrane Single-pass type II membrane protein,Protein O-mannose kinase (POMK)  (Protein kinase-like protein SgK196) (Sugen kinase 196)
454,Q86YV5,PRAG1_HUMAN,PRAG1 SGK223,Protein kinase superfamily,"Cytoplasm Cell junction, focal adhesion Nucleus",Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)
455,Q7Z7A4,PXK_HUMAN,PXK,Protein kinase superfamily,Cytoplasm Cell membrane Peripheral membrane protein,"PX domain-containing protein kinase-like protein (Modulator of Na,K-ATPase) (MONaKA)"
456,Q05823,RN5A_HUMAN,RNASEL RNS4,Protein kinase superfamily,Cytoplasm Mitochondrion,2-5A-dependent ribonuclease (2-5A-dependent RNase) (Ribonuclease 4) (Ribonuclease L) (RNase L)
457,Q96S38,KS6C1_HUMAN,RPS6KC1 RPK118,"Protein kinase superfamily, Ser/Thr protein kinase family, S6 kinase subfamily",Cytoplasm Membrane Early endosome,Ribosomal protein S6 kinase delta-1 (S6K-delta-1)  (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)
458,Q9Y6S9,RPKL1_HUMAN,RPS6KL1,"Protein kinase superfamily, Ser/Thr protein kinase family, S6 kinase subfamily",Cytoplasm Membrane Early endosome,Ribosomal protein S6 kinase-like 1 
459,Q52WX2,SBK1_HUMAN,SBK1,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm,Serine/threonine-protein kinase SBK1  (SH3-binding kinase 1)
460,P0C263,SBK2_HUMAN,SBK2 SGK069,"Protein kinase superfamily, Ser/Thr protein kinase family, STKL subfamily",Cytoplasm,Serine/threonine-protein kinase SBK2  (SH3-binding domain kinase family member 2) (Sugen kinase 69) (SgK069)
461,P0C264,SBK3_HUMAN,SBK3 SGK110,"Protein kinase superfamily, Ser/Thr protein kinase family, STKL subfamily",Cytoplasm,Uncharacterized serine/threonine-protein kinase SBK3  (SH3-binding domain kinase family member 3) (Sugen kinase 110)
462,Q96KG9,SCYL1_HUMAN,SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019,Protein kinase superfamily,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Endoplasmic reticulum-Golgi intermediate compartment Golgi apparatus, cis-Golgi network",N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)
463,Q6P3W7,SCYL2_HUMAN,SCYL2 CVAK104 KIAA1360,Protein kinase superfamily,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Endoplasmic reticulum-Golgi intermediate compartment Golgi apparatus, cis-Golgi network",SCY1-like protein 2 (Coated vesicle-associated kinase of 104 kDa)
464,Q8IZE3,PACE1_HUMAN,SCYL3 PACE1,Protein kinase superfamily,"Cytoplasm Golgi apparatus Cell projection, lamellipodium",Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3)
465,Q96LW2,KS6R_HUMAN,RSKR SGK494,"Protein kinase superfamily, Ser/Thr protein kinase family","Cytoplasm Golgi apparatus Cell projection, lamellipodium",Ribosomal protein S6 kinase-related protein  (Sugen kinase 494)
466,O75716,STK16_HUMAN,STK16 MPSK1 PKL12 TSF1,"Protein kinase superfamily, Ser/Thr protein kinase family","Cytoplasm, perinuclear region. Membrane Lipid-anchor",Serine/threonine-protein kinase 16  (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16)  (hPSK)
467,Q9BXU1,STK31_HUMAN,STK31 SGK396,"Protein kinase superfamily, Ser/Thr protein kinase family","Cytoplasm, perinuclear region. Membrane Lipid-anchor",Serine/threonine-protein kinase 31  (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)
468,Q8WU08,ST32A_HUMAN,STK32A YANK1,"Protein kinase superfamily, Ser/Thr protein kinase family",Cell membrane; Lipid-anchor,Serine/threonine-protein kinase 32A  (Yet another novel kinase 1)
469,Q9NY57,ST32B_HUMAN,STK32B YANK2 UNQ3003/PRO9744,"Protein kinase superfamily, Ser/Thr protein kinase family",Cell membrane; Lipid-anchor,Serine/threonine-protein kinase 32B  (Yet another novel kinase 2)
470,Q86UX6,ST32C_HUMAN,STK32C YANK3,"Protein kinase superfamily, Ser/Thr protein kinase family",Cell membrane; Lipid-anchor,Serine/threonine-protein kinase 32C  (PKE) (Yet another novel kinase 3)
471,Q8TDR2,STK35_HUMAN,STK35 CLIK1 PDIK1 STK35L1,"Protein kinase superfamily, Ser/Thr protein kinase family",Cell membrane; Lipid-anchor,Serine/threonine-protein kinase 35  (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)
472,Q9NRP7,STK36_HUMAN,STK36 KIAA1278,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm Nucleus,Serine/threonine-protein kinase 36  (Fused homolog)
473,Q8NE28,STKL1_HUMAN,STKLD1 C9orf96 SGK071,"Protein kinase superfamily, Ser/Thr protein kinase family, STKL subfamily",Cytoplasm Nucleus,Serine/threonine kinase-like domain-containing protein STKLD1 (Serine/threonine kinase-like domain-containing protein 1) (Sugen kinase 071)
474,Q8TEA7,TBCK_HUMAN,TBCK TBCKL HSPC302,Protein kinase superfamily,"Cytoplasm Cytoplasm, cytoskeleton, spindle Midbody",TBC domain-containing protein kinase-like protein
475,Q9UHD2,TBK1_HUMAN,TBK1 NAK,"Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily",Cytoplasm,Serine/threonine-protein kinase TBK1  (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)
476,Q8IWB6,TEX14_HUMAN,TEX14 SGK307,Protein kinase superfamily,"Cytoplasm Midbody Chromosome, centromere, kinetochore",Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein)
477,Q9UKI8,TLK1_HUMAN,TLK1 KIAA0137,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus,Serine/threonine-protein kinase tousled-like 1  (PKU-beta) (Tousled-like kinase 1)
478,Q86UE8,TLK2_HUMAN,TLK2,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus,Serine/threonine-protein kinase tousled-like 2  (HsHPK) (PKU-alpha) (Tousled-like kinase 2)
479,Q96S44,PRPK_HUMAN,TP53RK C20orf64 PRPK,"Protein kinase superfamily, BUD32 family",Cytoplasm Nucleus,EKC/KEOPS complex subunit TP53RK  (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase)  (p53-related protein kinase)
480,P33981,TTK_HUMAN,TTK MPS1 MPS1L1,"Protein kinase superfamily, Ser/Thr protein kinase family",Cytoplasm Nucleus,Dual specificity protein kinase TTK  (Phosphotyrosine picked threonine-protein kinase) (PYT)
481,Q8TAS1,UHMK1_HUMAN,UHMK1 KIS KIST,"Protein kinase superfamily, Ser/Thr protein kinase family",Nucleus,Serine/threonine-protein kinase Kist  (Kinase interacting with stathmin) (PAM COOH-terminal interactor protein 2) (P-CIP2) (U2AF homology motif kinase 1)
482,O75385,ULK1_HUMAN,ULK1 KIAA0722,"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily","Cytoplasm, cytosol Preautophagosomal structure",Serine/threonine-protein kinase ULK1  (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)
483,Q8IYT8,ULK2_HUMAN,ULK2 KIAA0623,"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",Cytoplasmic vesicle membrane Peripheral membrane protein,Serine/threonine-protein kinase ULK2  (Unc-51-like kinase 2)
484,Q6PHR2,ULK3_HUMAN,ULK3,"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",Cytoplasm,Serine/threonine-protein kinase ULK3  (Unc-51-like kinase 3)
485,Q96C45,ULK4_HUMAN,ULK4,"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",Cytoplasm,Serine/threonine-protein kinase ULK4  (Unc-51-like kinase 4)
486,P30291,WEE1_HUMAN,WEE1,"Protein kinase superfamily, Ser/Thr protein kinase family, WEE1 subfamily",Cytoplasm,Wee1-like protein kinase (WEE1hu)  (Wee1A kinase)
487,P0C1S8,WEE2_HUMAN,WEE2 WEE1B,"Protein kinase superfamily, Ser/Thr protein kinase family, WEE1 subfamily",Nucleus,Wee1-like protein kinase 2  (Wee1-like protein kinase 1B) (Wee1B kinase)
488,Q9H4A3,WNK1_HUMAN,WNK1 HSN2 KDP KIAA0344 PRKWNK1,"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily",Cytoplasm,Serine/threonine-protein kinase WNK1  (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)
489,Q9Y3S1,WNK2_HUMAN,WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13,"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily",Cytoplasm Cell membrane,Serine/threonine-protein kinase WNK2  (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)
490,Q9BYP7,WNK3_HUMAN,WNK3 KIAA1566 PRKWNK3,"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily",Cytoplasm,Serine/threonine-protein kinase WNK3  (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)
491,Q96J92,WNK4_HUMAN,WNK4 PRKWNK4,"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily","Cell junction, tight junction",Serine/threonine-protein kinase WNK4  (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)
492,Q86TW2,ADCK1_HUMAN,ADCK1,"Protein kinase superfamily, ADCK protein kinase family",Secreted,Uncharacterized aarF domain-containing protein kinase 1 
493,Q7Z695,ADCK2_HUMAN,ADCK2 AARF,"Protein kinase superfamily, ADCK protein kinase family",Membrane Single-pass membrane protein,Uncharacterized aarF domain-containing protein kinase 2 
494,Q3MIX3,ADCK5_HUMAN,ADCK5,"Protein kinase superfamily, ADCK protein kinase family",Membrane Single-pass membrane protein,Uncharacterized aarF domain-containing protein kinase 5 
495,Q8NI60,COQ8A_HUMAN,COQ8A ADCK3 CABC1 PP265,"Protein kinase superfamily, ADCK protein kinase family",Mitochondrion Membrane Single-pass membrane protein,"Atypical kinase COQ8A, mitochondrial  (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)"
496,Q96D53,COQ8B_HUMAN,COQ8B ADCK4,"Protein kinase superfamily, ADCK protein kinase family","Mitochondrion membrane Single-pass membrane protein Cytoplasm, cytosol Cell membrane","Atypical kinase COQ8B, mitochondrial  (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)"
497,Q96QP1,ALPK1_HUMAN,ALPK1 KIAA1527 LAK,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily","Cytoplasm, cytosol",Alpha-protein kinase 1  (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)
498,Q86TB3,ALPK2_HUMAN,ALPK2 HAK,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily","Cytoplasm, cytosol",Alpha-protein kinase 2  (Heart alpha-protein kinase)
499,Q96L96,ALPK3_HUMAN,ALPK3 KIAA1330 MAK,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily",Nucleus,Alpha-protein kinase 3  (Muscle alpha-protein kinase)
500,O00418,EF2K_HUMAN,EEF2K,"Protein kinase superfamily, Alpha-type protein kinase family",Nucleus,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)
501,Q9BX84,TRPM6_HUMAN,TRPM6 CHAK2,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM6 sub-subfamily",Cell membrane Multi-pass membrane protein.,Transient receptor potential cation channel subfamily M member 6  (Channel kinase 2) (Melastatin-related TRP cation channel 6)
502,Q96QT4,TRPM7_HUMAN,TRPM7 CHAK1 LTRPC7,"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily",Membrane Multi-pass membrane protein,Transient receptor potential cation channel subfamily M member 7  (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)
503,Q14296,FASTK_HUMAN,FASTK,FAST protein kinase family,Isoform 4: Mitochondrion matrix,Fas-activated serine/threonine kinase (FAST kinase)
504,O14874,BCKD_HUMAN,BCKDK,PDK/BCKDK protein kinase family,Mitochondrion matrix. Mitochondrion,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)"
